WebshopID,ClientID,PaymentMethod,Amount_HUF,BankAccountNumber,CardNumber,DateOfPayment
1,1,card,114321,-,0000-0000-0000-0001,2024-01-01
1,2,transfer,15643,00000000-00000000-00000001,-,2024-01-02
1,3,card,5732,-,0000-0000-0000-0003,2024-01-03
2,3,transfer,47322,00000000-00000000-00000002,-,2024-01-04
1,4,transfer,93567,00000000-00000000-00000003,-,2024-01-05
2,1,card,21435,-,0000-0000-0000-0001,2024-01-06
2,2,transfer,753778,00000000-00000000-00000004,-,2024-01-07
1,1,card,114321,-,0000-0000-0000-0001,2024-01-01
2,4,transfer,7534778,00000000-00000000-000000004,-,2024-01-07
2,2,transfer,753778,00000000-00000000-00000004,-,2024-01-07
